Country,Region,Population,Area (sq km),Pop Density (per sq km),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Area (sq mi),Pop Density (per sq mi)
Andorra,WESTERN EUROPE,71201,468,152.1,0.0,6.6,4.05,19000,100.0,497.2,2.22,0.0,97.78,8.71,6.25,-1.0,-1.0,-1.0,180,393.93940974751524
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,156.0,34.54,-6.15,19.46,11000,89.0,549.9,18.18,4.55,77.27,16.93,5.37,0.038,0.22,0.743,171,404.04040404040404
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,21.8,25.41,-2.2,25.21,16700,95.6,460.6,0.8,0.4,98.8,17.57,9.05,0.03,0.07,0.9,5382,56.4620544860413
British Virgin Is.,LATIN AMER. & CARIB,23098,153,151.0,52.29,10.01,18.05,16000,97.8,506.5,20.0,6.67,73.33,14.89,4.42,0.018,0.062,0.92,59,391.0903910903911
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,6.9,0.0,0.0,91.0,1100,51.0,2.3,3.1,0.14,96.76,33.91,18.65,0.55,0.2,0.25,240534,17.871018118019766
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,62660551,2345410,26.7,0.0,0.0,94.69,700,65.5,0.2,2.96,0.52,96.52,43.69,13.27,0.55,0.11,0.34,905562,69.15307112908431
"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,342000,10.8,0.05,-0.17,93.86,700,83.8,3.7,0.51,0.13,99.36,42.57,12.93,0.062,0.57,0.369,132046,27.972028466031762
"Gambia, The",SUB-SAHARAN AFRICA,1641564,11300,145.3,0.71,1.57,72.02,1700,40.1,26.8,25.0,0.5,74.5,39.37,12.25,0.308,0.142,0.549,4362,376.32738423143695
Gaza Strip,NEAR EAST,1428757,360,3968.8,11.11,1.6,22.93,600,-1.0,244.3,28.95,21.05,50.0,39.45,3.8,0.03,0.283,0.687,138,10279.202405667249
Liechtenstein,WESTERN EUROPE,33987,160,212.4,0.0,4.85,4.7,25000,100.0,585.5,25.0,0.0,75.0,10.21,7.18,0.06,0.39,0.55,61,550.1165343084289
"Micronesia, Fed. St.",OCEANIA,108004,702,153.9,870.66,-20.99,30.21,2000,89.0,114.8,5.71,45.71,48.58,24.68,4.75,0.289,0.152,0.559,271,398.6013827932773
Monaco,WESTERN EUROPE,32543,2,16271.5,205.0,7.75,5.43,27000,99.0,1035.6,0.0,0.0,100.0,9.19,12.91,0.17,-1.0,-1.0,0,42143.227143227145
N. Mariana Islands,OCEANIA,82459,477,172.9,310.69,9.61,7.11,12500,97.0,254.7,13.04,4.35,82.61,19.43,2.29,-1.0,-1.0,-1.0,184,447.81143200332656
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,149.9,51.72,-7.11,14.49,8800,97.0,638.9,19.44,2.78,77.78,18.02,8.33,0.035,0.258,0.707,100,388.241372433267
St Pierre & Miquelon,NORTHERN AMERICA,7026,242,29.0,49.59,-4.86,7.54,6900,99.0,683.2,13.04,0.0,86.96,13.52,6.83,-1.0,-1.0,-1.0,93,75.11007511007512
San Marino,WESTERN EUROPE,29251,61,479.5,0.0,10.98,5.73,34600,96.0,704.3,16.67,0.0,83.33,10.02,8.17,-1.0,-1.0,-1.0,23,1241.9062419062418
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,193.2,20.88,-2.72,43.11,1200,79.3,36.2,6.25,48.96,44.79,40.25,6.47,0.167,0.148,0.684,386,500.3884924844397
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,207.9,7.06,-10.83,24.31,9500,98.6,303.5,14.62,9.16,76.22,12.9,10.57,0.007,0.57,0.423,1979,538.4615226534172
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,49.2,90.47,11.68,15.67,9600,98.0,269.5,2.33,0.0,97.67,21.84,4.21,-1.0,-1.0,-1.0,166,127.4281294041426
